run_name,seed,model_id,n_layer,n_head,n_embd,batch_size,n_params,checkpoint_idx,checkpoint_tokens_target,train_tokens_real,val_loss,val_ppl,mu_landscape,flops_estimate,d_over_n,dataset_name,dataset_config,tokenizer_name
s0_L2_H2_E96_B128_T296000,0,L2_H2_E96,2,2,96,128,5060832,9,296000,311296,10.122826480865479,24905.065135578534,0.013372693909332156,9452500549632.0,0.06151083458213985,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E96_B128_T414000,0,L2_H2_E96,2,2,96,128,5060832,10,414000,425984,9.887149572372437,19675.895214899007,0.011574252741411328,12935000752128.0,0.08417272100713875,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E96_B128_T580000,0,L2_H2_E96,2,2,96,128,5060832,11,580000,589824,9.557815313339233,14154.88839949316,0.01083444815594703,17910001041408.0,0.11654684447142288,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E96_B128_T812000,0,L2_H2_E96,2,2,96,128,5060832,12,812000,819200,9.141110229492188,9331.119066728608,0.011523136286996305,24875001446400.0,0.16187061732142066,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E96_B128_T1137000,0,L2_H2_E96,2,2,96,128,5060832,13,1137000,1146880,8.6457914352417,5686.1657096875,0.010333506274037063,34825002024960.0,0.22661886424998892,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E96_B128_T1592000,0,L2_H2_E96,2,2,96,128,5060832,14,1592000,1605632,8.113287687301636,3338.5360693612397,0.01003294438123703,48755002834944.0,0.3172664099499845,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E96_B128_T2229000,0,L2_H2_E96,2,2,96,128,5060832,15,2229000,2244608,7.644052672386169,2088.1894390181847,0.027758482610806823,68157503963136.0,0.44352549146069264,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E96_B128_T3121000,0,L2_H2_E96,2,2,96,128,5060832,16,3121000,3129344,7.420611643791199,1670.0546739902293,0.051913759438320994,95022505525248.0,0.618345758167827,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E96_B128_T4370000,0,L2_H2_E96,2,2,96,128,5060832,17,4370000,4374528,7.342117834091186,1543.9785439630639,0.04473169567063451,132832507723776.0,0.8643890964963864,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E96_B128_T6120000,0,L2_H2_E96,2,2,96,128,5060832,18,6120000,6127616,7.206161975860596,1347.709785800432,0.09956057369709015,186065010819072.0,1.2107922175642265,wikitext,wikitext-103-raw-v1,gpt2
