run_name,seed,model_id,n_layer,n_head,n_embd,batch_size,n_params,checkpoint_idx,checkpoint_tokens_target,train_tokens_real,val_loss,val_ppl,mu_landscape,flops_estimate,d_over_n,dataset_name,dataset_config,tokenizer_name
few_s0_L7_H4_E128_B128_T43000,0,L7_H4_E128,7,4,128,128,7837440,4,43000,49152,10.856719732284546,51881.61317423389,0.2008679211139679,2311355105280.0,0.0062714355707986285,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T55000,0,L7_H4_E128,7,4,128,128,7837440,5,55000,65536,10.852249097824096,51650.18714256051,0.21317570470273495,3081806807040.0,0.008361914094398171,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T72000,0,L7_H4_E128,7,4,128,128,7837440,6,72000,81920,10.848331260681153,51448.22600468973,0.22469096817076206,3852258508800.0,0.010452392617997713,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T92000,0,L7_H4_E128,7,4,128,128,7837440,7,92000,98304,10.843409061431885,51195.60980893067,0.22038605622947216,4622710210560.0,0.012542871141597257,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T119000,0,L7_H4_E128,7,4,128,128,7837440,8,119000,131072,10.829581308364869,50492.56154950258,0.22085098549723625,6163613614080.0,0.016723828188796343,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T154000,0,L7_H4_E128,7,4,128,128,7837440,9,154000,163840,10.814194774627685,49721.602451853614,0.1976750772446394,7704517017600.0,0.020904785235995427,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T198000,0,L7_H4_E128,7,4,128,128,7837440,10,198000,212992,10.787507343292237,48412.21046841984,0.21899816021323204,10015872122880.0,0.027176220806794056,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T256000,0,L7_H4_E128,7,4,128,128,7837440,11,256000,262144,10.757175588607788,46965.829699433634,0.17817087844014168,12327227228160.0,0.033447656377592686,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T330000,0,L7_H4_E128,7,4,128,128,7837440,12,330000,344064,10.70649037361145,44644.67747051167,0.12377933133393526,16179485736960.0,0.0439000489955904,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T426000,0,L7_H4_E128,7,4,128,128,7837440,13,426000,442368,10.652145671844483,42283.2232059078,0.09159570652991533,20802195947520.0,0.05644292013718765,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T550000,0,L7_H4_E128,7,4,128,128,7837440,14,550000,557056,10.595407152175904,39950.92688996258,0.07502726372331381,26195357859840.0,0.07107626980238445,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T710000,0,L7_H4_E128,7,4,128,128,7837440,15,710000,720896,10.519152927398682,37017.75448196542,0.05021846853196621,33899874877440.0,0.09198105503837987,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T916000,0,L7_H4_E128,7,4,128,128,7837440,16,916000,917504,10.411180257797241,33229.06613210958,0.04241110663861036,43145295298560.0,0.11706679732157439,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T1182000,0,L7_H4_E128,7,4,128,128,7837440,17,1182000,1196032,10.210493326187134,27186.9763290997,0.03599643241614103,56242974228480.0,0.1526049322227666,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T1525000,0,L7_H4_E128,7,4,128,128,7837440,18,1525000,1540096,9.896326303482056,19857.28663180779,0.02995963580906391,72422459965440.0,0.19650498121835702,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T1968000,0,L7_H4_E128,7,4,128,128,7837440,19,1968000,1982464,9.414211082458497,12261.396162082341,0.028404150158166885,93224655912960.0,0.2529479013555447,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T2539000,0,L7_H4_E128,7,4,128,128,7837440,20,2539000,2539520,8.764477872848511,6402.718039408474,0.023400232661515474,119420013772800.0,0.32402417115792914,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T3276000,0,L7_H4_E128,7,4,128,128,7837440,21,3276000,3276800,7.985088133811951,2936.83612764722,0.028049005661159754,154090340352000.0,0.41809570471990853,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T4227000,0,L7_H4_E128,7,4,128,128,7837440,22,4227000,4227072,7.441281843185425,1704.93427942927,0.03371111489832401,198776539054080.0,0.539343459088682,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T5455000,0,L7_H4_E128,7,4,128,128,7837440,23,5455000,5455872,7.293451881408691,1470.638414995174,0.07279009744524956,256560416686080.0,0.6961293483586477,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T7039000,0,L7_H4_E128,7,4,128,128,7837440,24,7039000,7045120,7.116463756561279,1232.0857655454877,0.12653802335262299,331294231756800.0,0.8989057651478034,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T9083000,0,L7_H4_E128,7,4,128,128,7837440,25,9083000,9093120,6.96709885597229,1061.1397613214579,0.12591168936342,427600694476800.0,1.160215580597746,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T11720000,0,L7_H4_E128,7,4,128,128,7837440,26,11720000,11730944,6.823440575599671,919.1419534935276,0.14696824084967375,551643418460160.0,1.4967826228972725,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T15123000,0,L7_H4_E128,7,4,128,128,7837440,27,15123000,15138816,6.667261934280395,786.2398780915954,0.1730477660894394,711897372426240.0,1.9316021558059775,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T19515000,0,L7_H4_E128,7,4,128,128,7837440,28,19515000,19529728,6.53677339553833,690.0564428918723,0.19171873852610588,918378428497920.0,2.4918504001306547,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T25181000,0,L7_H4_E128,7,4,128,128,7837440,29,25181000,25182208,6.399576997756958,601.5905099078434,0.18577463924884796,1184184265605120.0,3.213065490772497,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T32493000,0,L7_H4_E128,7,4,128,128,7837440,30,32493000,32505856,6.265313768386841,526.0066043129037,0.3493361696600914,1528576176291840.0,4.147509390821493,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T41929000,0,L7_H4_E128,7,4,128,128,7837440,31,41929000,41943040,6.167842602729797,477.15558071535236,0.2803326193243265,1972356356505600.0,5.351625020414829,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T54104000,0,L7_H4_E128,7,4,128,128,7837440,32,54104000,54116352,6.033554887771606,417.1954795143799,0.2832074835896492,2544801970913280.0,6.90485056344929,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T69814000,0,L7_H4_E128,7,4,128,128,7837440,33,69814000,69828608,5.95368537902832,385.1702248458333,0.30044787749648094,3283665152901120.0,8.909619467581251,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T90086000,0,L7_H4_E128,7,4,128,128,7837440,34,90086000,90095616,5.825513243675232,338.8349933750588,0.41676008328795433,4236713907978240.0,11.495541401273885,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T116245000,0,L7_H4_E128,7,4,128,128,7837440,35,116245000,116260864,5.7883957624435425,326.4888383726723,0.42853736132383347,5467125275688960.0,14.834035603462356,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T150000000,0,L7_H4_E128,7,4,128,128,7837440,36,150000000,150011904,5.731596517562866,308.46133941870954,0.5381521806120872,7054255781314560.0,19.14042136207741,wikitext,wikitext-103-raw-v1,gpt2
few_s1_L2_H2_E48_B128_T20000,1,L2_H2_E48,2,2,48,128,2475120,1,20000,32768,10.830520820617675,50540.02222120414,0.08723395690321922,486628392960.0,0.013238954070913734,wikitext,wikitext-103-raw-v1,gpt2
few_s1_L2_H2_E48_B128_T26000,1,L2_H2_E48,2,2,48,128,2475120,2,26000,32768,10.830356645584107,50531.72549243595,0.08731735218316317,486628392960.0,0.013238954070913734,wikitext,wikitext-103-raw-v1,gpt2
few_s1_L2_H2_E48_B128_T33000,1,L2_H2_E48,2,2,48,128,2475120,3,33000,49152,10.830075550079346,50517.52324773931,0.08965688291937113,729942589440.0,0.0198584311063706,wikitext,wikitext-103-raw-v1,gpt2
few_s1_L2_H2_E48_B128_T43000,1,L2_H2_E48,2,2,48,128,2475120,4,43000,49152,10.829543924331665,50490.67396918795,0.08701473753899336,729942589440.0,0.0198584311063706,wikitext,wikitext-103-raw-v1,gpt2
few_s1_L2_H2_E48_B128_T55000,1,L2_H2_E48,2,2,48,128,2475120,5,55000,65536,10.830066823959351,50517.082427692905,0.08746176399290562,973256785920.0,0.026477908141827468,wikitext,wikitext-103-raw-v1,gpt2
